,ids,speaker,mfcc_feautres,label,filepath
14,14,nicolas,"[[-827.45447   -827.45447   -827.45447   ... -521.37195   -537.226
  -534.31586  ]
 [   0.           0.           0.        ...  179.34601    166.85568
   159.83505  ]
 [   0.           0.           0.        ...  -54.057327   -47.6339
   -62.034794 ]
 ...
 [   0.           0.           0.        ...   -1.6313164    7.3691034
     6.9252753]
 [   0.           0.           0.        ...   15.930209    20.2953
    23.156483 ]
 [   0.           0.           0.        ...   -8.292543    -3.6384664
    -6.5185304]]",9,recordings/9_nicolas_41.wav
15,15,lucas,"[[-7.9781464e+02 -7.9781464e+02 -7.9781464e+02 ... -6.8016492e+02
  -7.0494006e+02 -7.1373901e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.2864655e+01
   6.0822365e+01  5.6795319e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.7811466e+01
  -2.4727448e+01 -2.1415024e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.0673923e+00
  -3.7916842e+00 -2.6822824e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.4673820e+00
   7.5109911e+00  3.8948965e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.1376266e+00
   3.3722005e+00 -4.9775057e+00]]",5,recordings/5_lucas_24.wav
16,16,lucas,"[[-8.0528967e+02 -8.0528967e+02 -8.0528967e+02 ... -6.8571918e+02
  -6.8430017e+02 -7.1691431e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.7791496e+01
   8.0992386e+01  5.7446945e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.0638277e+01
  -7.5898619e+00 -5.6447639e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.1206913e+00
   3.2121732e+00  2.7768943e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.6162486e+00
  -5.7589025e+00 -2.3813865e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.6325891e+00
   7.3016381e-01 -3.4924195e+00]]",3,recordings/3_lucas_43.wav
17,17,jackson,"[[-773.166     -773.166     -773.166     ... -639.209     -666.2102
  -656.1946   ]
 [   0.           0.           0.        ...  132.28159    108.06421
   111.894844 ]
 [   0.           0.           0.        ...   48.579155    45.538757
    39.886078 ]
 ...
 [   0.           0.           0.        ...   -4.757492    -9.351509
    -8.756527 ]
 [   0.           0.           0.        ...   -3.9552288   -8.929754
    -5.198264 ]
 [   0.           0.           0.        ...   -7.004225    -6.943696
    -8.248827 ]]",1,recordings/1_jackson_35.wav
18,18,jackson,"[[-8.38456665e+02 -8.38456665e+02 -8.38456665e+02 ... -5.83320435e+02
  -6.10710388e+02 -6.24011963e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.80633606e+02
   1.67402039e+02  1.61245514e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.11716042e+01
  -1.33585453e+01 -7.17897862e-02]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.98636723e+00
  -1.31099958e+01 -6.80560207e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.47142172e+00
  -1.14105392e+00 -8.51619363e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.55747471e+01
  -1.00591564e+01 -1.25999775e+01]]",5,recordings/5_jackson_27.wav
19,19,theo,"[[-1019.8705    -1019.8705    -1019.8705    ...  -735.1387
   -732.333      -735.19543  ]
 [    0.            0.            0.        ...   186.17307
    187.60927     193.40067  ]
 [    0.            0.            0.        ...   -55.284607
    -54.035378    -41.32242  ]
 ...
 [    0.            0.            0.        ...   -10.197827
    -13.450027    -15.009012 ]
 [    0.            0.            0.        ...    -5.9128356
    -12.606825     -4.401019 ]
 [    0.            0.            0.        ...    -8.683373
    -11.461218     -7.496335 ]]",0,recordings/0_theo_13.wav
20,20,lucas,"[[-7.6291547e+02 -7.6291547e+02 -7.6291547e+02 ... -6.3384558e+02
  -6.7846021e+02 -7.0599365e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  9.5536240e+01
   6.6940964e+01  5.4486588e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.2281771e+00
   2.8996036e+00  2.1288036e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.9198198e+00
  -4.3971639e+00 -4.2141814e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.8309593e+00
  -4.6420326e+00 -1.0337578e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.7495797e-01
  -8.0465651e+00 -2.8815269e+00]]",5,recordings/5_lucas_5.wav
21,21,lucas,"[[-8.2786786e+02 -8.2786786e+02 -8.2786786e+02 ... -6.0132721e+02
  -6.4666583e+02 -7.1168079e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0892346e+02
   1.0881699e+02  7.0606445e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.1053635e+01
  -2.5758642e+01 -1.7870327e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.5802565e+00
  -1.0622265e+01 -6.4591513e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.4006300e+00
   1.2488775e+00  5.1175151e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.7017633e-01
   2.2936618e+00  2.5229208e+00]]",6,recordings/6_lucas_18.wav
22,22,nicolas,"[[-817.19135   -817.19135   -817.19135   ... -544.6112    -486.34595
  -527.6973   ]
 [   0.           0.           0.        ...  154.06844    209.96887
   164.47159  ]
 [   0.           0.           0.        ...  -50.31399    -33.222057
   -57.767612 ]
 ...
 [   0.           0.           0.        ...   -3.7179284    0.8385529
    -7.497191 ]
 [   0.           0.           0.        ...    3.2798784   13.317526
     4.3768764]
 [   0.           0.           0.        ...   -9.933234   -18.311123
    -9.225821 ]]",4,recordings/4_nicolas_4.wav
23,23,yweweler,"[[-9.2733221e+02 -9.2733221e+02 -9.2733221e+02 ... -7.5098511e+02
  -7.7792938e+02 -7.6471661e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0969656e+02
   9.7223068e+01  1.1213423e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.9334963e+01
  -1.9723671e+01 -1.2591185e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.5104093e+01
   1.5633053e+01 -4.2854524e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.4960091e-02
   4.5853596e+00  8.9902344e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.6292582e+01
  -9.4093761e+00  2.4222486e+00]]",8,recordings/8_yweweler_24.wav
24,24,theo,"[[-979.1988    -979.1988    -979.1988    ... -727.05615   -729.0056
  -724.46906  ]
 [   0.           0.           0.        ...  113.83422    112.9258
   120.55817  ]
 [   0.           0.           0.        ...  -86.817276   -89.00047
   -77.36164  ]
 ...
 [   0.           0.           0.        ...  -11.019915    -5.6971407
    -2.5784554]
 [   0.           0.           0.        ...    8.647131    10.240137
    17.312803 ]
 [   0.           0.           0.        ...   -8.686062   -18.061466
   -13.715263 ]]",6,recordings/6_theo_11.wav
25,25,jackson,"[[-7.1818433e+02 -7.1818433e+02 -7.1818433e+02 ... -5.7558838e+02
  -5.9269873e+02 -6.0544427e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.3906354e+02
   1.2271962e+02  1.1586195e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.2832626e+01
   4.0926346e+01  4.3808891e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.6870880e+00
   2.8338156e+00  6.3575492e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.1520582e+01
   1.3081627e+01  4.8354139e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.8841946e-01
   1.2351470e+00  2.2911131e+00]]",2,recordings/2_jackson_40.wav
26,26,jackson,"[[-8.3678015e+02 -8.3678015e+02 -8.3678015e+02 ... -5.7592047e+02
  -5.8637805e+02 -5.9668829e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8572482e+02
   1.8073221e+02  1.6753351e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.3682732e+01
  -1.4867133e+01 -1.9421795e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.0764818e+00
   1.4622493e+00  2.8565753e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -6.8296728e+00
   4.2226491e+00  1.2558970e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.1400045e+01
  -5.3537722e+00  3.3999107e+00]]",9,recordings/9_jackson_0.wav
27,27,yweweler,"[[-9.37411133e+02 -9.37411133e+02 -9.37411133e+02 ... -7.76432068e+02
  -7.87432068e+02 -7.89222839e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.21720856e+02
   1.06528893e+02  1.04440079e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.52696705e+01
   7.69335365e+00  4.12143707e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.10482931e+00
  -1.21735306e+01 -1.71535945e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.11071396e+00
  -8.46037149e-01  1.42564936e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.78182030e+01
  -4.47535467e+00  1.57038093e+00]]",1,recordings/1_yweweler_24.wav
28,28,george,"[[-8.02279236e+02 -8.02279236e+02 -8.02279236e+02 ... -5.69593750e+02
  -5.36498535e+02 -5.82488892e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.53467636e+01
   1.32503204e+02  1.01525024e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.10901947e+01
  -8.44128265e+01 -7.84386902e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.16347933e-01
  -1.23699307e-01 -2.33883324e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.91354485e+01
   7.86508989e+00  1.20538616e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.31208649e+01
  -2.86563835e+01 -1.81421585e+01]]",6,recordings/6_george_2.wav
29,29,george,"[[-777.67725   -777.67725   -777.67725   ... -616.5527    -611.267
  -612.88477  ]
 [   0.           0.           0.        ...  107.988106   116.60704
   111.98956  ]
 [   0.           0.           0.        ...  -12.936153    -6.660675
   -16.562271 ]
 ...
 [   0.           0.           0.        ...  -21.465347   -17.647219
   -11.440193 ]
 [   0.           0.           0.        ...   -9.198111    -8.075441
    -8.412949 ]
 [   0.           0.           0.        ...   -6.7000465  -11.86689
   -11.818531 ]]",5,recordings/5_george_18.wav
30,30,lucas,"[[-7.6333710e+02 -7.6333710e+02 -7.6333710e+02 ... -6.9038574e+02
  -7.0176367e+02 -7.0121643e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.3062214e+01
   2.8382320e+01  3.1924660e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.0726048e+01
  -2.3954899e+01 -1.9050617e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8118959e+01
   1.6894562e+00  6.7952228e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.7223154e+01
   5.1127901e+00  9.4674492e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.4000087e+00
  -7.8523493e-01 -3.3446115e-01]]",1,recordings/1_lucas_46.wav
31,31,lucas,"[[-8.21173645e+02 -8.21173645e+02 -8.21173645e+02 ... -7.01664062e+02
  -7.14091980e+02 -7.20128479e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.88392181e+01
   7.63721466e+01  7.43302155e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.49744301e+01
  -6.36081982e+00  2.80851507e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.06818914e-01
   3.07497883e+00 -2.04138947e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.86945367e+00
   6.43887520e+00 -1.77131724e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.11546135e+01
   2.93923903e+00 -6.08704662e+00]]",1,recordings/1_lucas_1.wav
32,32,nicolas,"[[-8.73327698e+02 -8.73327698e+02 -8.73327698e+02 ... -5.40115173e+02
  -5.61623291e+02 -5.45997070e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.55938538e+02
   1.39106583e+02  1.58498138e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.17344742e+02
  -1.21531311e+02 -1.11029274e+02]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.81517112e-01
   1.51539001e+01 -8.48620701e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.67850304e+01
   3.24252930e+01  1.23658791e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.77181721e+00
   3.64266515e+00  3.74557197e-01]]",5,recordings/5_nicolas_33.wav
33,33,george,"[[-794.28375   -794.28375   -794.28375   ... -650.49677   -658.4111
  -655.55927  ]
 [   0.           0.           0.        ...  107.10035    106.66077
   103.76128  ]
 [   0.           0.           0.        ...   -6.5855875    4.9875526
    -2.830452 ]
 ...
 [   0.           0.           0.        ...    4.2596903  -12.214034
    -6.626675 ]
 [   0.           0.           0.        ...   10.577988     1.7503233
     2.8937347]
 [   0.           0.           0.        ...    2.20811      3.9009423
    -3.755285 ]]",2,recordings/2_george_40.wav
34,34,nicolas,"[[-811.3401    -811.3401    -811.3401    ... -537.725     -544.6917
  -543.518    ]
 [   0.           0.           0.        ...  161.48285    147.80893
   152.86115  ]
 [   0.           0.           0.        ...  -30.531551   -51.619614
   -41.30359  ]
 ...
 [   0.           0.           0.        ...    1.4184024    4.4735985
     1.8210016]
 [   0.           0.           0.        ...    7.4833717   17.881603
     4.4767838]
 [   0.           0.           0.        ...  -14.016272    -6.743907
   -21.647396 ]]",0,recordings/0_nicolas_9.wav
35,35,george,"[[-8.7022375e+02 -8.7022375e+02 -8.7022375e+02 ... -6.3393030e+02
  -6.2964508e+02 -6.1569141e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.5451558e+02
   1.5645183e+02  1.4901091e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.4852764e+01
  -3.0158348e+01 -6.0205204e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.1001184e+01
  -1.3776802e+01 -1.5073765e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.5631349e+00
   8.6754169e+00  1.9714649e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.3815745e+01
  -6.3779223e-01 -2.1046262e+00]]",7,recordings/7_george_37.wav
36,36,jackson,"[[-7.6399091e+02 -7.6399091e+02 -7.6399091e+02 ... -5.9924304e+02
  -6.0823431e+02 -6.3461957e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.2724627e+02
   1.2298859e+02  1.0127559e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.4881943e+01
   2.6034048e+01  1.9094646e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.6097224e-01
  -5.3079498e-01 -2.8475049e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.2379815e+01
   2.1876318e+00  5.7257385e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.1817784e+00
  -1.5090260e+01 -8.7324500e-01]]",3,recordings/3_jackson_40.wav
37,37,george,"[[-7.9402887e+02 -7.9402887e+02 -7.9402887e+02 ... -6.4121027e+02
  -5.2997528e+02 -5.3691473e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0267396e+02
   1.3810930e+02  1.4286603e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.5660137e+01
  -9.5698647e+01 -7.5289246e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.2521061e+01
  -4.7107162e+00 -1.0805506e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.8766718e+00
   5.1591721e+00  8.9170923e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.2831373e+00
  -2.9087799e+00 -1.6907372e+01]]",8,recordings/8_george_20.wav
38,38,yweweler,"[[-1006.3583    -1006.3583    -1006.3583    ...  -779.2358
   -789.4936     -807.55994  ]
 [    0.            0.            0.        ...   166.30046
    151.78928     133.61108  ]
 [    0.            0.            0.        ...     4.0133214
     -6.2244205   -10.832251 ]
 ...
 [    0.            0.            0.        ...   -26.246914
    -14.1651945   -19.82477  ]
 [    0.            0.            0.        ...   -11.491625
     -4.6421795   -11.571594 ]
 [    0.            0.            0.        ...   -16.783642
    -17.027534    -10.925957 ]]",0,recordings/0_yweweler_35.wav
39,39,lucas,"[[-801.6053    -801.6053    -801.6053    ... -656.17426   -701.54376
  -718.98474  ]
 [   0.           0.           0.        ...  106.832016    79.96188
    67.901886 ]
 [   0.           0.           0.        ...   -4.4777575    3.6350582
     5.982745 ]
 ...
 [   0.           0.           0.        ...    7.961493    -6.349743
     2.5663984]
 [   0.           0.           0.        ...    9.027927     8.027078
     3.0798542]
 [   0.           0.           0.        ...  -11.269638   -10.125504
    -4.206358 ]]",8,recordings/8_lucas_45.wav
40,40,lucas,"[[-8.1758368e+02 -8.1758368e+02 -8.1758368e+02 ... -7.1604883e+02
  -7.4595593e+02 -7.5152496e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.8329391e+01
   5.5362373e+01  6.1419868e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.7634830e+00
   7.9499340e+00  2.3552254e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6296635e+00
  -7.5670719e-01 -8.1176910e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.3262606e+00
   4.7403169e+00 -4.6672959e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.5558176e+00
  -3.6101317e+00 -9.8327675e+00]]",9,recordings/9_lucas_5.wav
